startup_id,startup_name,industry,country,city_tier,founded_year,founders_count,female_founder,funding_rounds,total_funding_usd,last_funding_year,investor_count,has_vc,has_angel,employees,burn_rate_usd_monthly,annual_revenue_usd,profitability,customer_count,churn_rate_percent,milestones,patents_count,market_size_usd,valuation_usd,remote_work_policy,age_first_funding_year,status,closure_reason
1,Startup_1,Cybersecurity,India,Tier1,2019,1,1,2,2579778.75,2013,0,1,0,28,590502.9375,496592.71875,Not Profitable,1997,8.07999992370605,4,1,390503168,68295352,Office,3,operating,Acquired talent
2,Startup_2,EdTech,Israel,Tier1,2000,3,0,3,1227833.75,2006,4,0,1,4,237710.84375,281594.3125,Not Profitable,6497,26.4699993133545,5,0,298694304,19471566,Remote,4,operating,Operating
3,Startup_3,Logistics,India,Tier1,2011,2,0,0,1451220.625,2014,4,0,1,9,117543.1875,205734.484375,Not Profitable,344,26.4699993133545,4,0,34614312,1696136.125,Hybrid,3,acquired,Operating
4,Startup_4,Gaming,USA,Tier2,2016,2,0,1,4647331,2017,5,0,1,38,36030.44921875,1262597.625,Not Profitable,2036,4.19000005722046,6,1,9364820,4572882,Remote,3,acquired,Market competition
5,Startup_5,Ecommerce,Brazil,Tier1,2016,3,0,5,19231350,2014,6,1,1,10,75479.6015625,375448.71875,Not Profitable,9577,10.8400001525879,8,2,39081408,5174604,Remote,0,operating,Market competition
6,Startup_6,Cybersecurity,France,Tier1,2007,1,0,2,19654568,2012,0,1,1,15,87225.0390625,2633369,Not Profitable,1187,26.4699993133545,8,1,75504832,15619140,Office,3,operating,Operating
7,Startup_7,TravelTech,Israel,Tier1,2016,5,0,3,133070.3125,2012,0,1,1,22,229967.265625,1219247.5,Not Profitable,116,26.4699993133545,4,0,86777696,8932885,Office,3,closed,Market competition
8,Startup_8,HealthTech,USA,Tier1,2020,2,0,4,3320476.75,2010,5,1,0,8,104835.71875,84167.234375,Not Profitable,1252,26.4699993133545,3,1,113585040,8932885,Office,1,ipo,Operating
9,Startup_9,Cybersecurity,Australia,Tier2,2019,4,0,2,399188.46875,2019,0,1,0,41,104132.171875,368104.90625,Profitable,1342,26.4699993133545,3,0,9393108,2611459.75,Office,2,acquired,Operating
10,Startup_10,Logistics,India,Tier1,2020,5,0,8,8124165.5,2015,6,1,1,27,288806.6875,1670432.375,Not Profitable,42291,30.7800006866455,5,1,24908130,22889526,Remote,3,operating,Product-market fit failure
11,Startup_11,Logistics,Singapore,Tier1,2012,4,0,1,370587.21875,2005,6,1,0,27,345928.6875,1219247.5,Profitable,2556,48.1500015258789,3,1,4554362,27889268,Office,3,operating,Market competition
12,Startup_12,Gaming,UAE,Tier1,2012,2,0,2,4125925.25,2024,0,1,0,56,1197137.375,103693.796875,Not Profitable,6281,24.7299995422363,5,1,429447968,3852798.5,Office,1,operating,Operating
13,Startup_13,Ecommerce,Canada,Tier1,2014,3,0,3,19757670,2011,0,0,0,45,156970.53125,1219247.5,Not Profitable,14683,7.73000001907349,7,0,154931760,22455102,Office,5,operating,Operating
14,Startup_14,EdTech,USA,Tier2,2017,4,0,1,356210.625,2009,4,1,0,10,684685,8608799,Not Profitable,2957,36.8800010681152,4,2,56408652,30085688,Remote,2,closed,Operating
15,Startup_15,Gaming,India,Tier1,2012,1,1,8,5641568.5,2009,5,0,0,127,37379.23828125,18538238,Not Profitable,2957,19.6900005340576,5,2,57316224,7137613.5,Hybrid,3,operating,Acquired talent
16,Startup_16,Gaming,India,Tier1,2007,4,0,4,3320476.75,2020,3,1,1,20,2987131.5,248073.03125,Not Profitable,2957,26.4699993133545,8,1,14651321,8932885,Office,6,operating,Regulatory issues
17,Startup_17,HealthTech,France,Tier2,2006,1,0,0,63360872,2010,5,0,1,67,63164.21875,1757393.5,Not Profitable,805,25.3899993896484,3,3,18374546,1345061.875,Hybrid,4,closed,Operating
18,Startup_18,AI,France,Tier2,2022,5,0,3,962831.625,2006,4,1,1,26,178940.734375,18584856,Not Profitable,1018,16.2099990844727,8,0,338389184,216726688,Office,5,closed,Market competition
19,Startup_19,Ecommerce,Singapore,Tier1,2018,5,0,1,5008709,2007,0,1,1,5,45048.1171875,270497.375,Not Profitable,752,26.4699993133545,3,2,86210840,355108608,Office,3,ipo,Regulatory issues
20,Startup_20,SaaS,UAE,Tier1,2009,3,0,2,31120820,2006,6,0,1,29,335311.40625,3603332.25,Profitable,3137,39.4099998474121,1,0,17472866,8932885,Hybrid,0,closed,Strategic shutdown
21,Startup_21,Gaming,Netherlands,Tier1,2011,1,0,5,677456.5625,2017,5,1,0,109,438705.65625,640342.6875,Break-even,2957,10.9899997711182,2,0,32913564,19413468,Remote,1,closed,Founder conflict
22,Startup_22,ClimateTech,USA,Tier1,2001,3,0,0,8565167,2024,6,0,1,1,38487.58984375,281266.21875,Profitable,985,25.4099998474121,9,2,21367384,419481.34375,Remote,6,operating,Operating
23,Startup_23,AI,UAE,Tier1,2013,4,0,3,13733771,2015,2,1,0,20,103657.4375,26289.861328125,Profitable,2957,31.9099998474121,5,0,13747888,2305137.5,Hybrid,3,closed,Operating
24,Startup_24,SaaS,Germany,Tier1,2009,3,0,2,18385496,2010,0,1,0,16,1059728.125,1219247.5,Not Profitable,42496,26.4699993133545,3,1,9687923,8932885,Office,3,ipo,Ran out of cash
25,Startup_25,ClimateTech,Netherlands,Tier3,2016,4,0,3,2165548.75,2024,0,1,1,20,97993.4765625,192513.109375,Break-even,6211,26.4699993133545,3,1,9023879,8932885,Hybrid,3,closed,Operating
26,Startup_26,Ecommerce,France,Tier1,2012,5,0,2,3320476.75,2022,7,1,0,25,1098499.625,1219247.5,Not Profitable,1931,16.3799991607666,8,3,35216808,41217908,Office,6,operating,Ran out of cash
27,Startup_27,Fintech,UAE,Tier2,2000,3,1,3,2950545.25,2022,7,1,0,27,89234.8046875,2678277.25,Profitable,829,29.6399993896484,6,2,256002304,4613627.5,Office,0,closed,Acquired talent
28,Startup_28,ClimateTech,Canada,Tier2,2022,5,1,3,12277805,2006,0,1,0,27,253841.578125,1664783,Profitable,3640,26.4699993133545,5,1,761047872,13532366,Office,1,closed,Strategic shutdown
29,Startup_29,TravelTech,India,Tier3,2014,4,0,4,215872.3125,2012,1,0,0,12,797120.75,1219247.5,Not Profitable,667,26.4699993133545,2,1,11813960,12835155,Office,5,operating,Strategic shutdown
30,Startup_30,AI,India,Tier1,2000,1,0,4,1364392.5,2013,3,1,1,131,59055.90234375,6912358.5,Break-even,17361,26.4699993133545,6,0,64850760,31652108,Office,4,operating,Operating
31,Startup_31,ClimateTech,Australia,Tier2,2014,2,0,3,648623.875,2017,1,1,1,34,99853.9609375,2688583,Not Profitable,1252,49.0800018310547,9,1,51723804,8932885,Remote,6,acquired,Regulatory issues
32,Startup_32,FoodTech,Australia,Tier3,2019,4,0,4,3382625.5,2007,0,0,0,20,45844.89453125,437439.25,Not Profitable,1805,33.9300003051758,6,1,263304688,6358630,Remote,1,acquired,Product-market fit failure
33,Startup_33,Fintech,Singapore,Tier1,2014,4,1,0,18495124,2021,5,0,0,23,26201.794921875,1910574.375,Not Profitable,1737,37,3,1,180646832,49260144,Remote,2,closed,Founder conflict
34,Startup_34,Logistics,USA,Tier1,2013,2,0,0,5723753.5,2006,4,1,1,50,708399.8125,242960.828125,Not Profitable,2957,41.9599990844727,4,1,280965888,8932885,Office,2,operating,Market competition
35,Startup_35,Logistics,Netherlands,Tier1,2012,2,1,0,3320476.75,2022,7,1,1,12,495057.5625,3130740.25,Not Profitable,70,29.6700000762939,4,3,27409192,17459182,Office,0,acquired,Acquired talent
36,Startup_36,TravelTech,Netherlands,Tier2,2001,5,0,4,33232436,2005,3,1,0,52,1803569,362588.9375,Not Profitable,1236,26.9099998474121,5,1,97483784,8932885,Hybrid,3,operating,Regulatory issues
37,Startup_37,ClimateTech,UK,Tier1,2007,4,0,3,3320476.75,2016,8,0,1,97,NULL,374746.65625,Break-even,2957,30.7999992370605,6,1,58532180,8932885,Remote,3,operating,Operating
38,Startup_38,ClimateTech,Israel,Tier1,2008,4,0,1,4755324.5,2021,3,1,0,4,NULL,279025.28125,Profitable,5182,23.1200008392334,2,0,113569048,20433704,Office,3,operating,Ran out of cash
39,Startup_39,HealthTech,France,Tier2,2018,3,0,5,1457006.5,2010,8,1,0,55,192974.765625,370270.4375,Break-even,65663,15.5100002288818,8,1,1217688704,6363881,Office,2,closed,Strategic shutdown
40,Startup_40,ClimateTech,USA,Tier1,2018,2,1,0,3320476.75,2019,2,1,1,15,224315.34375,12197854,Break-even,2431,17.5799999237061,3,1,93698360,8932885,Office,4,closed,Ran out of cash
